X,Y,OBJECTID,NAME,ADDRESS,FACUSE,LEVEL_,STATUS,PHONE,PS,PK,K,GR_1,GR_2,GR_3,GR_4,GR_5,GR_6,GR_7,GR_8,GR_9,GR_10,GR_11,GR_12,UNGRADED,TOTAL_STUD,SSL,GIS_ID,WEB_URL,ADDR_ID,BLDG_NUM,SCH_PROG,CAPITALGAINS,CAPACITY,YEAR_BUILT,SQUARE_FOOTAGE,POPULATION_PLAN,POPULATION_ENROLLED_2008,YEAR_CLOSED
-77.025751074741549,38.917552564339204,39,Garnet-Patterson Middle School,2001 10TH STREET NW,Middle School,MS,Closed,202-673-7329,0,0,0,0,0,0,0,0,25,79,100,0,0,0,0,2,206, ,dcps_410,http://educationcenter.dc.gov/ec/site/default.asp?portal_link=cc,294533,410,410,,0,0,0,0,0,2008
-77.015889338916722,38.917842768394735,40,Gage-Eckington Elementary School,2025 3RD STREET NW,Elementary School,ES,Closed,202-673-7305,0,18,22,25,24,19,28,29,18,0,0,0,0,0,0,0,183, ,dcps_281,http://educationcenter.dc.gov/ec/site/default.asp?portal_link=cc,294536,281,281,,0,0,0,0,0,2008
-77.026594809688689,38.922833687525269,41,Meyer Elementary School,2501 11TH STREET NW,Elementary School,ES,Closed,202-673-7259,10,13,23,25,22,19,23,18,0,0,0,0,0,0,0,16,169, ,dcps_278,http://educationcenter.dc.gov/ec/site/default.asp?portal_link=cc,242979,278,278,,0,0,0,0,0,2008
-76.957635968704835,38.927313738129676,42,Marshall Elementary School,3100 FORT LINCOLN DRIVE NE,Elementary School,ES,Closed,202-576-6900,25,37,38,17,16,7,12,9,,,,,,,,,161, ,dcps_351,http://www.thurgoodmarshalldc.org,294553,351,351,N,350,1980,103800,450,,2013
-76.970989639443857,38.899101985911578,43,Spingarn STAY High School,2500 BENNING ROAD NE,Youth Engagement,STAY,Closed,202-724-4538,,,,,,,,,,,,,,,,162,162, ,dcps_912,http://www.sshs.org,294545,460,460B,N,905,1952,225000,,,2013
-76.937618570923604,38.87907573644052,44,Davis Elementary School,4430 H STREET SE,Elementary School,ES,Closed,202-729-4340,16,23,23,27,23,25,24,23,,,,,,,,,184, ,dcps_229,http://dcatlas.dcgis.dc.gov/schoolprofile/schools.aspx,294598,229,229,N,507,1943,71100,325,269,2013
-76.940487210402338,38.908236523752542,45,Kenilworth Elementary School,1300 44TH STREET NE,Elementary School,ES,Closed,202-724-4643,16,20,23,18,23,20,28,30,,,,,,,,,178, ,dcps_256,http://dcatlas.dcgis.dc.gov/schoolprofile/schools.aspx,294516,256,256,N,425,1933,57100,325,299,2013
-76.995165715758318,38.832351341953284,46,Ferebee-Hope Elementary School,3999 8TH STREET SE,Elementary School,ES,Closed,202-645-3100,16,33,30,34,27,30,32,37,0,0,0,0,0,0,0,0,239, ,dcps_343,http://dcatlas.dcgis.dc.gov/schoolprofile/schools.aspx,294588,343,343,N,521,1974,193800,325,263,2013
-76.994102835308837,38.841526676396498,47,M.C. Terrell/McGogney Elementary School,3301 WHEELER ROAD SE,Elementary School,ES,Closed,202-645-3740,16,34,33,21,27,21,26,33,37,0,0,0,0,0,0,0,211, ,dcps_353,http://dcatlas.dcgis.dc.gov/schoolprofile/schools.aspx,294563,353,353,N,504,1976,112000,400,252,2013
-77.05232329698579,38.907476955475502,48,Francis-Stevens Education Campus,2425 N STREET NW,Education Campus,EC,Closed,202-724-4841,27,19,15,16,11,13,19,19,22,32,40,,,,,,233, ,dcps_409,http://dcatlas.dcgis.dc.gov/schoolprofile/schools.aspx,294544,409,409,N,520,1927,95100,450,165,2013
-76.993185317155067,38.897572435677702,49,Prospect Learning Center,920 F STREET NE,Special Education School,SE,Closed,202-548-4380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100, ,dcps_242,http://dcatlas.dcgis.dc.gov/schoolprofile/schools.aspx,289072,242,242,N,,1959,,,,2013
-76.970989639443857,38.899101985911578,50,Spingarn High School,2500 BENNING ROAD NE,High School,SHS,Closed,202-724-4525,,,,,,,,,,,,143,125,104,78,,450, ,dcps_460,http://www.spingarn.k12.dc.us,294545,460,569,N,905,1952,225000,0,626,2013
-77.010312842644026,38.909412490077919,51,J.F. Cook Elementary School,30 P STREET NW,Elementary School,ES,Closed,202-673-7221,14,21,26,32,27,20,14,17,13,0,0,0,0,0,0,0,184, ,dcps_226,http://educationcenter.dc.gov/ec/site/default.asp?portal_link=cc,294465,226,226,,0,0,0,0,0,2008
-77.013821309495754,38.95389641235964,52,Rudolph Elementary School,5200 2ND STREET NW,Elementary School,ES,Closed,202-576-6186,17,0,31,32,32,28,27,31,30,0,0,0,0,0,0,0,228, ,dcps_306,http://educationcenter.dc.gov/ec/site/default.asp?portal_link=cc,294608,306,306,,0,0,0,0,0,2008
-76.997269669100376,38.953348323857497,53,Backus Middle School,5171 SOUTH DAKOTA AVENUE NE,Middle School,MS,Closed,202-576-6110,0,0,0,0,0,0,0,0,10,48,83,0,0,0,0,0,141, ,dcps_401,http://educationcenter.dc.gov/ec/site/default.asp?portal_link=cc,294607,401,401,,0,0,0,0,0,2008
-77.046834310893544,38.903170049124654,54,Stevens Elementary School,1050 21ST STREET NW,Elementary School,ES,Closed,202-724-4852,0,21,37,39,35,28,37,22,12,0,0,0,0,0,0,0,231, ,dcps_320,http://educationcenter.dc.gov/ec/site/default.asp?portal_link=cc,294506,320,320,,0,0,0,0,0,2008
-77.0224186632217,38.945609356736817,55,Clark Elementary School,4501 KANSAS AVENUE NW,Elementary School,ES,Closed,202-576-6219,14,18,28,25,41,26,22,26,0,0,0,0,0,0,0,0,200, ,dcps_223,http://educationcenter.dc.gov/ec/site/default.asp?portal_link=cc,284930,223,223,,0,0,0,0,0,2008
-77.003089113326624,38.823911366299434,56,Patricia R. Harris Educational Center,4600 LIVINGSTON ROAD SE,K-8,EC,Closed,202-645-3490,30,4,32,42,51,43,50,39,38,38,87,116,0,0,0,0,532, ,dcps_352,http://educationcenter.dc.gov/ec/site/default.asp?portal_link=cc,294600,352,352,,0,0,0,0,0,2008
